timestamp,latitude,longitude,altitude,vx,vy,vz
1759417634.806,44.436853,8.881799,70.0,0.1,5.0,0.0
1759417634.906,44.436853,8.881806,70.0,0.1,5.0,0.0
1759417635.006,44.436853,8.881812,70.0,0.1,5.0,0.0
1759417635.106,44.436853,8.881818,70.0,0.1,5.0,0.0
1759417635.206,44.436853,8.881825,70.0,0.1,5.0,0.0
1759417635.306,44.436853,8.881831,70.0,0.1,5.0,0.0
1759417635.406,44.436853,8.881837,70.0,0.1,5.0,0.0
1759417635.506,44.436853,8.881844,70.0,0.1,5.0,0.0
1759417635.606,44.436853,8.88185,70.0,0.1,5.0,0.0
1759417635.706,44.436853,8.881856,70.0,0.1,5.0,0.0
1759417635.806,44.436853,8.881863,70.0,0.1,5.0,0.0
1759417635.906,44.436853,8.881869,70.0,0.1,5.0,0.0
1759417636.006,44.436853,8.881875,70.0,0.1,5.0,0.0
1759417636.106,44.436854,8.881881,70.0,0.1,5.0,0.0
1759417636.206,44.436854,8.881888,70.0,0.1,5.0,0.0
1759417636.306,44.436854,8.881894,70.0,0.1,5.0,0.0
1759417636.406,44.436854,8.8819,70.0,0.1,5.0,0.0
1759417636.506,44.436854,8.881907,70.0,0.1,5.0,0.0
1759417636.606,44.436854,8.881913,70.0,0.1,5.0,0.0
1759417636.706,44.436854,8.881919,70.0,0.1,5.0,0.0
1759417636.806,44.436854,8.881925,70.0,0.1,5.0,0.0
1759417636.906,44.436854,8.881932,70.0,0.1,5.0,0.0
1759417637.006,44.436854,8.881938,70.0,0.1,5.0,0.0
1759417637.106,44.436854,8.881944,70.0,0.1,5.0,0.0
1759417637.206,44.436854,8.881951,70.0,0.1,5.0,0.0
1759417637.306,44.436854,8.881957,70.0,0.1,5.0,0.0
1759417637.406,44.436854,8.881963,70.0,0.1,5.0,0.0
1759417637.506,44.436854,8.881969,70.0,0.1,5.0,0.0
1759417637.606,44.436855,8.881976,70.0,0.1,5.0,0.0
1759417637.706,44.436855,8.881982,70.0,0.1,5.0,0.0
1759417637.806,44.436855,8.881988,70.0,0.1,5.0,0.0
1759417637.906,44.436855,8.881995,70.0,0.1,5.0,0.0
1759417638.006,44.436855,8.882001,70.0,0.1,5.0,0.0
1759417638.106,44.436855,8.882007,70.0,0.1,5.0,0.0
1759417638.206,44.436855,8.882014,70.0,0.1,5.0,0.0
1759417638.306,44.436855,8.88202,70.0,0.1,5.0,0.0
1759417638.406,44.436855,8.882026,70.0,0.1,5.0,0.0
1759417638.506,44.436855,8.882033,70.0,0.1,5.0,0.0
1759417638.606,44.436855,8.882039,70.0,0.1,5.0,0.0
1759417638.706,44.436855,8.882045,70.0,0.1,5.0,0.0
1759417638.806,44.436855,8.882052,70.0,0.1,5.0,0.0
1759417638.906,44.436855,8.882058,70.0,0.1,5.0,0.0
1759417639.006,44.436855,8.882064,70.0,0.1,5.0,0.0
1759417639.106,44.436856,8.88207,70.0,0.1,5.0,0.0
1759417639.206,44.436856,8.882077,70.0,0.1,5.0,0.0
